"","Intercept","InterceptStdErr","Slope","SlopeStdErr","ResidStdErr","Rsq","AdjRsq","DegFree","Fstat","Pvalue"
"Subsample34",0.640193079439313,0.219570704821338,0.394547845601941,0.0746076957607087,0.38550256943811,0.474274311898544,0.457315418733981,31,27.9661123692657,9.39558045888116e-06
"Subsample35",0.698413870753311,0.172267101981671,0.349085771852659,0.067393391217103,0.402296006904842,0.463951204050844,0.446659307407322,31,26.8305561625407,1.28252402896081e-05
"Subsample36",0.372603956963133,0.222214576416699,0.463829704099275,0.0800074263357037,0.429472980436439,0.520191216714277,0.504713514027641,31,33.6090715299384,2.18676258811299e-06
"Subsample37",0.732713444360436,0.16716183563489,0.361065593534573,0.0708139683461298,0.373940762239031,0.456118072764816,0.438573494466907,31,25.9976652057332,1.61806737247243e-05
"Subsample38",0.69145490515163,0.140178960393459,0.385753751199393,0.0556800849421879,0.32359389337938,0.607583572730079,0.594924978302017,31,47.9977122407183,9.03428266043514e-08
"Subsample39",0.798471265170234,0.184465705626556,0.354544704286165,0.0697261281565394,0.392511159771256,0.454756953255264,0.437168467876402,31,25.8553788720082,1.6842108719862e-05
"Subsample40",0.6853983134861,0.175606256234657,0.412348659403335,0.062794164339628,0.372077407042048,0.581765948917412,0.568274527914748,31,43.1211766946219,2.47378732070768e-07
"Subsample41",0.717757667311299,0.204087868125529,0.363828099942362,0.0732329801461077,0.405928884185752,0.443266392923284,0.425307244307906,31,24.6819268784115,2.35340790884008e-05
"Subsample42",0.66196801262502,0.124413538486752,0.366631086465988,0.0509666286199139,0.312464175904787,0.625364914802949,0.613279912054657,31,51.7471884639278,4.3455740663801e-08
"Subsample43",0.85292715935593,0.258756003814738,0.300872918792417,0.0973069249391992,0.424966501486097,0.235708829095515,0.211054275195371,31,9.56045808211245,0.00418280142555183
"Subsample44",0.784442084368976,0.165117581790508,0.363683618515166,0.063852631544332,0.385766982067562,0.511354503275109,0.495591745316242,31,32.4406746972501,2.92403452345413e-06
"Subsample45",0.496738540887402,0.143263524279969,0.477366907101427,0.0548061405506889,0.312789040706663,0.709916613785023,0.700559085197443,31,75.8658236670828,7.78086285023165e-10
"Subsample46",0.72145695194455,0.180369365578397,0.366099943707273,0.0683366730411224,0.404456480563834,0.480742631050773,0.463992393342734,31,28.7006452941281,7.70852885033662e-06
"Subsample47",0.37218011531653,0.174041185202018,0.495754197895983,0.0633563019808495,0.389722162225719,0.663878066099388,0.653035423070336,31,61.2284351998475,7.87000246017059e-09
