"unixtime","temp","oxy","disc"
1662210601,18.945,8.669,0.052504
1662211201,18.945,8.67,0.052211
1662211801,18.945,8.671,0.05222
1662212401,18.945,8.669,0.052112
1662213001,18.945,8.67,0.052015
1662213601,18.945,8.673,0.052248
1662214201,18.9425,8.678,0.052275
1662214801,18.94,8.6785,0.05159
1662215401,18.9425,8.6815,0.052499
1662216001,18.945,8.681,0.052128
1662216601,18.95,8.676,0.052301
1662217201,18.955,8.68,0.052027
1662217801,18.955,8.679,0.051836
1662218401,18.9575,8.6775,0.051809
1662219001,18.965,8.673,0.051875
1662219601,18.965,8.6735,0.051648
1662220201,18.9725,8.692,0.051616
1662220801,18.98,8.6955,0.051408
1662221401,18.9975,8.682,0.05118
1662222001,19.015,8.687,0.051117
1662222601,19.0275,8.6925,0.050954
1662223201,19.0525,8.6885,0.050915
1662223801,19.075,8.6845,0.050848
1662224401,19.0975,8.675,0.051148
1662225001,19.1125,8.6765,0.051213
1662225601,19.1275,8.668,0.051157
1662226201,19.1375,8.669,0.051209
1662226801,19.1525,8.667,0.051072
1662227401,19.17,8.661,0.0508
1662228001,19.18,8.659,0.050671
1662228601,19.1925,8.6595,0.05017
1662229201,19.21,8.659,0.049922
1662229801,19.235,8.6595,0.049805
1662230401,19.255,8.6455,0.049872
1662231001,19.285,8.6375,0.049864
1662231601,19.31,8.632,0.049752
1662232201,19.335,8.6225,0.049995
1662232801,19.3525,8.6205,0.049474
1662233401,19.3675,8.618,0.049234
1662234001,19.3875,8.6155,0.049532
1662234601,19.41,8.598,0.049331
1662235201,19.435,8.5825,0.049189
1662235801,19.455,8.5735,0.049353
1662236401,19.47,8.5665,0.049402
1662237001,19.4775,8.565,0.048909
1662237601,19.485,8.558,0.04881
1662238201,19.4875,8.561,0.048414
1662238801,19.49,8.566,0.047969
1662239401,19.5,8.562,0.047885
1662240001,19.505,8.555,0.048044
1662240601,19.5125,8.5515,0.047795
1662241201,19.52,8.546,0.047445
1662241801,19.5225,8.55,0.047503
1662242401,19.525,8.5455,0.047468
1662243001,19.525,8.54,0.046881
1662243601,19.525,8.5405,0.046931
1662244201,19.5275,8.532,0.046742
1662244801,19.525,8.535,0.046425
1662245401,19.52,8.5355,0.04644
1662246001,19.5175,8.5345,0.046342
1662246601,19.5125,8.533,0.046362
1662247201,19.5075,8.5325,0.046069
1662247801,19.5025,8.526,0.045688
1662248401,19.4925,8.5285,0.045451
1662249001,19.485,8.528,0.045186
1662249601,19.4775,8.5335,0.04551
1662250201,19.47,8.5325,0.045284
1662250801,19.4575,8.5275,0.044889
1662251401,19.45,8.53,0.044729
1662252001,19.44,8.5285,0.044799
1662252601,19.43,8.538,0.044736
1662253201,19.42,8.539,0.044575
1662253801,19.41,8.537,0.044588
1662254401,19.3975,8.5405,0.0448
1662255001,19.39,8.5495,0.044535
1662255601,19.38,8.5625,0.044731
1662256201,19.37,8.56,0.044394
1662256801,19.3625,8.555,0.044821
1662257401,19.3575,8.5565,0.044797
1662258001,19.3525,8.5595,0.044623
1662258601,19.345,8.5565,0.044714
1662259201,19.34,8.5605,0.045059
1662259801,19.3325,8.565,0.044778
1662260401,19.325,8.5675,0.044811
1662261001,19.3175,8.5715,0.044832
1662261601,19.3125,8.569,0.044999
1662262201,19.305,8.5735,0.044817
1662262801,19.2975,8.5715,0.044863
1662263401,19.2875,8.5735,0.045266
1662264001,19.28,8.578,0.045611
1662264601,19.2725,8.579,0.045424
1662265201,19.2625,8.5805,0.045529
1662265801,19.255,8.5805,0.045658
1662266401,19.2475,8.581,0.046141
1662267001,19.24,8.5825,0.045969
1662267601,19.235,8.5845,0.046316
1662268201,19.225,8.5825,0.046308
1662268801,19.2175,8.5815,0.046424
1662269401,19.2125,8.5895,0.046643
1662270001,19.205,8.587,0.046748
1662270601,19.1975,8.5915,0.046767
1662271201,19.1925,8.589,0.04714
1662271801,19.185,8.59,0.047346
1662272401,19.1775,8.5885,0.047252
1662273001,19.175,8.5885,0.047423
1662273601,19.165,8.5935,0.047323
1662274201,19.155,8.599,0.047671
1662274801,19.15,8.598,0.047716
1662275401,19.1425,8.5975,0.04746
1662276001,19.135,8.5995,0.0478
1662276601,19.1325,8.594,0.047424
1662277201,19.125,8.597,0.047955
1662277801,19.12,8.605,0.047731
1662278401,19.115,8.604,0.047854
1662279001,19.1125,8.6,0.047977
1662279601,19.1075,8.601,0.048012
1662280201,19.105,8.6005,0.048286
1662280801,19.095,8.606,0.048258
1662281401,19.09,8.6,0.048418
1662282001,19.085,8.6065,0.048537
1662282601,19.08,8.605,0.048023
1662283201,19.075,8.6075,0.048387
1662283801,19.07,8.605,0.048246
1662284401,19.065,8.6085,0.048434
1662285001,19.06,8.611,0.048971
1662285601,19.0575,8.613,0.048846
1662286201,19.05,8.6175,0.048746
1662286801,19.0475,8.6225,0.048536
1662287401,19.04,8.62,0.048912
1662288001,19.035,8.6225,0.049074
1662288601,19.03,8.6245,0.048794
1662289201,19.025,8.6245,0.048956
1662289801,19.02,8.6235,0.048742
1662290401,19.0175,8.6255,0.048956
1662291001,19.01,8.625,0.048741
1662291601,19.01,8.6255,0.048847
1662292201,19,8.628,0.048981
1662292801,19,8.633,0.049237
1662293401,19,8.633,0.048589
1662294001,19,8.6335,0.048835
1662294601,19,8.635,0.049021
1662295201,19,8.642,0.048966
1662295801,19,8.6375,0.049076
1662296401,19.01,8.6385,0.049208
1662297001,19.0125,8.6375,0.049211
1662297601,19.015,8.6375,0.049497
1662298201,19.0225,8.6405,0.049437
1662298801,19.025,8.6435,0.04943
1662299401,19.035,8.6425,0.049331
1662300001,19.0425,8.6435,0.049525
1662300601,19.055,8.6455,0.049683
1662301201,19.075,8.643,0.049979
1662301801,19.0975,8.644,0.050184
1662302401,19.115,8.642,0.049738
1662303001,19.135,8.6355,0.049802
1662303601,19.15,8.633,0.050177
1662304201,19.17,8.6275,0.050278
1662304801,19.185,8.628,0.050151
1662305401,19.2025,8.626,0.050083
1662306001,19.215,8.621,0.049765
1662306601,19.2325,8.617,0.049777
1662307201,19.245,8.62,0.04979
